search_term,relevance,product_uid
208,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.8, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.0, 3.0, 3.0, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67]","[711159795, 711159801, 711159806, 711159808, 711159809, 711159813, 711159815, 711159816, 711172850, 711172853, 711172859, 711172861, 711172862, 711176814, 711176820, 711176822, 711176823, 711176829, 711176830, 711176831, 711159814, 711176824, 711159792, 711159797, 711159800, 711159802, 711159803, 711159804, 711159805, 711159810, 711159811, 711172851, 711172855, 711172858, 711172863, 711172864, 711172869, 711176815, 711176817, 711176821, 711176826, 711176827, 711176832, 711176818, 711176828, 711159793, 711159794, 711159798, 711159799, 711159807, 711159812, 711172852, 711172857, 711172860, 711172865, 711176819, 711172856, 711172867, 711176833, 711159796, 711172854, 711172866, 711172868, 711176816, 711176825]"
117,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.8, 3.75, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.33, 3.33, 3.33, 3.2, 3.0, 3.0, 2.83, 2.67, 2.67, 2.6, 2.33, 2.33, 2.33, 2.33, 2.2, 2.0, 1.67, 1.33, 1.33]","[711159842, 711159843, 711159845, 711159846, 711159847, 711159848, 711159851, 711159854, 711159856, 711159857, 711159858, 711159859, 711159860, 711159863, 711159864, 711159865, 711163501, 711172913, 711172915, 711172918, 711176912, 711176915, 711176916, 711176918, 711176919, 711176920, 711176913, 711159861, 711159866, 711159850, 711159862, 711172912, 711172917, 711176911, 711176917, 711176921, 711159855, 711159844, 711159853, 711172916, 711172914, 711172920, 711176914, 711172921, 711159852, 711176922, 711172919, 711159849, 711176926, 711176927, 711176928, 711176929, 711176923, 711176925, 711172922, 711176924]"
240,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.4, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.25, 3.2, 3.2, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.8, 2.8, 2.8, 2.67, 2.67, 2.4, 2.33, 2.33, 2.33, 2.0, 2.0, 2.0, 1.67, 1.67, 1.0]","[711173866, 711173873, 711173877, 711173880, 711178629, 711178636, 711178642, 711178643, 711178647, 711164646, 711164656, 711173864, 711173871, 711173872, 711173874, 711173875, 711173881, 711178630, 711178632, 711178634, 711178635, 711178638, 711178640, 711178641, 711178645, 711173868, 711173870, 711178639, 711164644, 711164658, 711164665, 711173865, 711173867, 711173876, 711173879, 711178631, 711178633, 711178637, 711178644, 711164660, 711164648, 711164655, 711164647, 711164652, 711164664, 711164667, 711173869, 711178646, 711164651, 711164654, 711173878, 711164653, 711164668, 711164650, 711164649, 711164662, 711178628, 711164659, 711164661, 711164666, 711164645, 711164663, 711164657]"
96,"[4.0, 4.0, 4.0, 4.0, 3.75, 3.67, 3.4, 3.33, 3.33, 3.0, 2.8, 2.8, 2.67, 2.6, 2.6, 1.67, 1.67, 1.33, 1.33, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[711175949, 711175950, 711175951, 711175952, 711175948, 711175947, 711175955, 711175944, 711175961, 711162533, 711175946, 711175960, 711162528, 711162524, 711175945, 711162523, 711175957, 711162526, 711162530, 711162525, 711162527, 711162529, 711162531, 711162532, 711162534, 711162535, 711175953, 711175954, 711175956, 711175958, 711175959]"
221,"[4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.0, 3.0, 3.0, 3.0, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.6, 2.6, 2.6, 2.4, 2.33, 2.33, 2.33, 2.2, 2.0, 1.67]","[711176869, 711176872, 711176876, 711176882, 711163476, 711163494, 711172890, 711176871, 711176878, 711176880, 711176887, 711176889, 711176877, 711163479, 711163481, 711163482, 711163485, 711163487, 711163488, 711176875, 711176879, 711163475, 711176873, 711163478, 711163483, 711163497, 711176874, 711163492, 711172891, 711163477, 711163486, 711163489, 711163493, 711163498, 711176870, 711176883, 711176886, 711163490, 711176881, 711176890, 711163480, 711163495, 711163499, 711176888, 711163491, 711163484, 711163496]"
67,"[4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.2, 3.0, 3.0, 2.83, 2.8, 2.8, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.6, 2.6, 2.6, 2.6, 2.4, 2.4, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.25, 2.2, 2.0]","[711160697, 711164786, 711178748, 711178751, 711178755, 711164805, 711178740, 711160691, 711160695, 711160702, 711160711, 711160712, 711160714, 711164787, 711164792, 711164795, 711164799, 711164808, 711178738, 711178749, 711164796, 711160690, 711160693, 711160696, 711160699, 711160705, 711160709, 711160713, 711164789, 711164793, 711164794, 711178739, 711178746, 711178750, 711178756, 711160707, 711178742, 711178757, 711164800, 711178754, 711160710, 711160701, 711164803, 711164807, 711178741, 711160692, 711160700, 711160706, 711160708, 711164785, 711164788, 711164802, 711178747, 711160704, 711164797, 711178745, 711178752, 711160694, 711164801, 711160698, 711164790, 711164791, 711164804, 711164806, 711178743, 711178744, 711178753, 711164809, 711160703, 711164798]"
103,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.0, 3.0, 3.0]","[711172528, 711172529, 711172530, 711172531, 711172533, 711172535, 711172536, 711172537, 711172538, 711172539, 711172542, 711172543, 711172544, 711172545, 711172547, 711176456, 711176457, 711176458, 711176459, 711176460, 711176461, 711176463, 711176464, 711176466, 711176467, 711176468, 711176470, 711176471, 711176473, 711176475, 711172534, 711172532, 711172546, 711176462, 711176469, 711176472, 711176474, 711172540, 711172541, 711176465]"
231,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.75, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.6, 3.4, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.2, 3.2, 3.2, 3.0, 2.75, 2.67, 2.67, 2.67, 2.33, 2.33, 1.67]","[711158834, 711158836, 711158839, 711158841, 711158843, 711158844, 711158845, 711158848, 711158851, 711158853, 711158854, 711158855, 711161526, 711161530, 711161531, 711161536, 711161542, 711161543, 711161548, 711161549, 711161550, 711174995, 711174996, 711174998, 711175000, 711175001, 711175002, 711175004, 711175007, 711175009, 711175012, 711175014, 711158857, 711161541, 711175011, 711158835, 711158849, 711158850, 711161527, 711161529, 711161532, 711161544, 711161545, 711161546, 711174997, 711175005, 711175008, 711175010, 711175013, 711158858, 711158856, 711161540, 711158842, 711158846, 711161534, 711161537, 711161547, 711158837, 711158838, 711158840, 711161535, 711161539, 711161528, 711175006, 711158852, 711161533, 711174999, 711158847, 711161538, 711175003]"
97,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.33, 3.0, 2.67, 2.67, 2.33, 2.0]","[711173450, 711177776, 711177777, 711177779, 711177780, 711177782, 711177787, 711177788, 711177789, 711177791, 711177773, 711177774, 711177775, 711177781, 711177793, 711177784, 711177790, 711177778, 711177785, 711177783, 711177792]"
209,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.0, 3.0, 3.0, 2.8, 2.6, 2.6, 2.5, 2.4, 2.4, 2.0, 2.0, 1.8, 1.8, 1.75, 1.67, 1.67, 1.67, 1.67, 1.67, 1.33, 1.33, 1.33, 1.33, 1.33, 1.33, 1.0, 1.0, 1.0]","[711162864, 711162866, 711162867, 711162868, 711162871, 711162875, 711162879, 711176308, 711176309, 711176310, 711176311, 711176316, 711176317, 711176318, 711162862, 711162863, 711162865, 711162872, 711162873, 711162877, 711172423, 711172426, 711176306, 711176321, 711162857, 711162858, 711162861, 711162874, 711172408, 711176313, 711176315, 711176319, 711176320, 711162876, 711162878, 711176312, 711176307, 711162869, 711176314, 711172425, 711162859, 711172424, 711162870, 711172407, 711172410, 711172417, 711162855, 711162856, 711172409, 711172414, 711172420, 711172421, 711162860, 711172412, 711172413, 711172418, 711172419, 711172422, 711172411, 711172415, 711172416]"
194,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.8, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.5, 3.4, 3.4, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.2, 3.0, 3.0, 3.0, 3.0, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.6, 2.6, 2.6, 2.33, 2.33, 2.33, 2.33, 2.2, 2.0, 2.0, 2.0, 1.75, 1.67, 1.67, 1.33, 1.33]","[711161576, 711161577, 711161578, 711161579, 711161580, 711161583, 711161585, 711161586, 711161587, 711161588, 711161591, 711161594, 711161597, 711163352, 711163353, 711163356, 711163357, 711163359, 711163360, 711163361, 711163362, 711163363, 711163364, 711163365, 711163367, 711171677, 711171678, 711171679, 711171680, 711171681, 711171694, 711172784, 711172785, 711172787, 711172788, 711172799, 711175035, 711175036, 711175042, 711175044, 711175045, 711175046, 711175047, 711175048, 711175049, 711175050, 711175051, 711175052, 711176739, 711176740, 711176745, 711176746, 711176747, 711176749, 711176750, 711176751, 711176753, 711176754, 711176756, 711175040, 711161584, 711163354, 711163355, 711163358, 711163370, 711163372, 711163373, 711163375, 711171688, 711171690, 711171691, 711171693, 711171695, 711172786, 711172791, 711172792, 711172794, 711172795, 711172796, 711172801, 711176737, 711176744, 711176748, 711176755, 711161599, 711171687, 711172803, 711176741, 711161582, 711161589, 711161596, 711163368, 711163374, 711171689, 711175037, 711175041, 711176738, 711176752, 711161592, 711171692, 711172798, 711161581, 711171685, 711172797, 711175034, 711171696, 711172800, 711161598, 711163369, 711163371, 711171684, 711175033, 711175038, 711176743, 711161593, 711172793, 711175043, 711171683, 711172789, 711172790, 711176742, 711161595, 711171682, 711171686, 711172802, 711163366, 711163376, 711175039, 711161590, 711161600]"
131,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.6, 3.5, 3.5, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.2, 3.2, 3.0, 3.0, 2.8, 2.67, 2.6, 2.4, 2.33, 2.2, 1.67]","[711159383, 711159384, 711159386, 711159387, 711159390, 711159392, 711159393, 711159394, 711159395, 711159398, 711159399, 711159402, 711159404, 711162438, 711162440, 711162441, 711162442, 711162443, 711162444, 711162445, 711162446, 711162447, 711162450, 711162452, 711162456, 711162458, 711162459, 711162462, 711172120, 711172121, 711172122, 711172123, 711172124, 711172126, 711172128, 711172129, 711172131, 711172132, 711175864, 711175865, 711175866, 711175867, 711175868, 711175869, 711175870, 711175872, 711175875, 711175877, 711175879, 711175881, 711175882, 711175884, 711162460, 711159382, 711159385, 711159388, 711159389, 711159400, 711162439, 711162461, 711175883, 711175874, 711172130, 711175878, 711175873, 711159391, 711159401, 711159406, 711162451, 711162457, 711172118, 711172119, 711175876, 711159403, 711162449, 711172117, 711175871, 711159397, 711162453, 711162448, 711159396, 711159405, 711172125, 711172127, 711162455, 711162454]"
195,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.25, 3.2, 3.2, 3.0, 2.67, 2.67, 1.67, 1.67]","[711164862, 711164864, 711164868, 711164869, 711164870, 711164871, 711164872, 711164874, 711164877, 711164879, 711164881, 711164882, 711174005, 711174006, 711174009, 711174011, 711174012, 711174013, 711174014, 711174015, 711174017, 711174018, 711174019, 711174020, 711178818, 711178819, 711178820, 711178821, 711178823, 711178824, 711178827, 711178829, 711178831, 711178833, 711178836, 711164863, 711164865, 711164867, 711164873, 711164876, 711174007, 711174016, 711178822, 711178832, 711178834, 711174004, 711174010, 711164861, 711164866, 711164875, 711164878, 711164884, 711174002, 711178825, 711178828, 711178835, 711164883, 711174008, 711178826, 711178830, 711164860, 711178817, 711164880, 711174003]"
43,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.33, 3.0, 2.67, 2.0, 1.33]","[711163047, 711163048, 711163049, 711163050, 711163053, 711163054, 711163057, 711163060, 711172527, 711163045, 711163046, 711163051, 711163056, 711163058, 711163061, 711172526, 711176433, 711163052, 711163055, 711176434, 711176435, 711163059]"
53,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.0, 3.0, 3.0, 3.0, 3.0, 2.67, 2.4, 2.33, 2.33, 2.0, 2.0, 1.0]","[711158684, 711158686, 711158687, 711158689, 711158690, 711158694, 711158695, 711158696, 711158701, 711158703, 711158706, 711158707, 711158708, 711161318, 711171442, 711174736, 711174738, 711174739, 711174740, 711174742, 711158693, 711158688, 711158691, 711158697, 711158698, 711158699, 711158700, 711158704, 711161319, 711174750, 711174751, 711158692, 711158705, 711171443, 711174741, 711174744, 711174746, 711174735, 711174743, 711174745, 711174752, 711174753, 711174749, 711174747, 711174737, 711174754, 711158685, 711158702, 711174748]"
